man_nontrad_1_1,m_nt_1_scale_1,m_nt_1_scale_3,m_nt_1_scale_4,m_nt_1_scale_5,m_nt_1_scale_12,m_nt_1_scale_13,man_nontrad_2_1,m_nt_2_scale_1,m_nt_2_scale_3,m_nt_2_scale_4,m_nt_2_scale_5,m_nt_2_scale_12,m_nt_2_scale_13,man_nontrad_3_1,m_nt_3_scale_1,m_nt_3_scale_3,m_nt_3_scale_4,m_nt_3_scale_5,m_nt_3_scale_12,m_nt_3_scale_13,man_nontrad_4_1,m_nt_4_scale_1,m_nt_4_scale_3,m_nt_4_scale_4,m_nt_4_scale_5,m_nt_4_scale_12,m_nt_4_scale_13,man_nontrad_5_1,m_nt_5_scale_1,m_nt_5_scale_3,m_nt_5_scale_4,m_nt_5_scale_5,m_nt_5_scale_12,m_nt_5_scale_13,man_nontrad_6_1,m_nt_6_scale_1,m_nt_6_scale_3,m_nt_6_scale_4,m_nt_6_scale_5,m_nt_6_scale_12,m_nt_6_scale_13,man_nontrad_7_1,m_nt_7_scale_1,m_nt_7_scale_3,m_nt_7_scale_4,m_nt_7_scale_5,m_nt_7_scale_12,m_nt_7_scale_13,man_nontrad_8_1,m_nt_8_scale_1,m_nt_8_scale_3,m_nt_8_scale_4,m_nt_8_scale_5,m_nt_8_scale_12,m_nt_8_scale_13,man_nontrad_9_1,m_nt_9_scale_1,m_nt_9_scale_3,m_nt_9_scale_4,m_nt_9_scale_5,m_nt_9_scale_12,m_nt_9_scale_13,man_nontrad_10_1,m_nt_10_scale_1,m_nt_10_scale_3,m_nt_10_scale_4,m_nt_10_scale_5,m_nt_10_scale_12,m_nt_10_scale_13,man_trad_1_1,m_t_1_scale_1,m_t_1_scale_3,m_t_1_scale_4,m_t_1_scale_5,m_t_1_scale_12,m_t_1_scale_13,man_trad_2_1,m_t_2_scale_1,m_t_2_scale_3,m_t_2_scale_4,m_t_2_scale_5,m_t_2_scale_12,m_t_2_scale_13,man_trad_3_1,m_t_3_scale_1,m_t_3_scale_3,m_t_3_scale_4,m_t_3_scale_5,m_t_3_scale_12,m_t_3_scale_13,man_trad_4_1,m_t_4_scale_1,m_t_4_scale_3,m_t_4_scale_4,m_t_4_scale_5,m_t_4_scale_12,m_t_4_scale_13,man_trad_5_1,m_t_5_scale_1,m_t_5_scale_3,m_t_5_scale_4,m_t_5_scale_5,m_t_5_scale_12,m_t_5_scale_13,man_trad_6_1,m_t_6_scale_1,m_t_6_scale_3,m_t_6_scale_4,m_t_6_scale_5,m_t_6_scale_12,m_t_6_scale_13,man_trad_7_1,m_t_7_scale_1,m_t_7_scale_3,m_t_7_scale_4,m_t_7_scale_5,m_t_7_scale_12,m_t_7_scale_13,man_trad_8_1,m_t_8_scale_1,m_t_8_scale_3,m_t_8_scale_4,m_t_8_scale_5,m_t_8_scale_12,m_t_8_scale_13,man_trad_9_1,m_t_9_scale_1,m_t_9_scale_3,m_t_9_scale_4,m_t_9_scale_5,m_t_9_scale_12,m_t_9_scale_13,man_trad_10_1,m_t_10_scale_1,m_t_10_scale_3,m_t_10_scale_4,m_t_10_scale_5,m_t_10_scale_12,m_t_10_scale_13,woman_nontrad_1_1,w_nt_1_scale_1,w_nt_1_scale_3,w_nt_1_scale_4,w_nt_1_scale_5,w_nt_1_scale_12,w_nt_1_scale_13,woman_nontrad_2_1,w_nt_2_scale_1,w_nt_2_scale_3,w_nt_2_scale_4,w_nt_2_scale_5,w_nt_2_scale_12,w_nt_2_scale_13,woman_nontrad_3_1,w_nt_3_scale_1,w_nt_3_scale_3,w_nt_3_scale_4,w_nt_3_scale_5,w_nt_3_scale_12,w_nt_3_scale_13,woman_nontrad_4_1,w_nt_4_scale_1,w_nt_4_scale_3,w_nt_4_scale_4,w_nt_4_scale_5,w_nt_4_scale_12,w_nt_4_scale_13,woman_nontrad_5_1,w_nt_5_scale_1,w_nt_5_scale_3,w_nt_5_scale_4,w_nt_5_scale_5,w_nt_5_scale_12,w_nt_5_scale_13,woman_nontrad_6_1,w_nt_6_scale_1,w_nt_6_scale_3,w_nt_6_scale_4,w_nt_6_scale_5,w_nt_6_scale_12,w_nt_6_scale_13,woman_nontrad_7_1,w_nt_7_scale_1,w_nt_7_scale_3,w_nt_7_scale_4,w_nt_7_scale_5,w_nt_7_scale_12,w_nt_7_scale_13,woman_nontrad_8_1,w_nt_8_scale_1,w_nt_8_scale_3,w_nt_8_scale_4,w_nt_8_scale_5,w_nt_8_scale_12,w_nt_8_scale_13,woman_nontrad_9_1,w_nt_9_scale_1,w_nt_9_scale_3,w_nt_9_scale_4,w_nt_9_scale_5,w_nt_9_scale_12,w_nt_9_scale_13,woman_nontrad_10_1,w_nt_10_scale_1,w_nt_10_scale_3,w_nt_10_scale_4,w_nt_10_scale_5,w_nt_10_scale_12,w_nt_10_scale_13,woman_trad_1_1,w_t_1_scale_1,w_t_1_scale_3,w_t_1_scale_4,w_t_1_scale_5,w_t_1_scale_12,w_t_1_scale_13,woman_trad_2_1,w_t_2_scale_1,w_t_2_scale_3,w_t_2_scale_4,w_t_2_scale_5,w_t_2_scale_12,w_t_2_scale_13,woman_trad_3_1,w_t_3_scale_1,w_t_3_scale_3,w_t_3_scale_4,w_t_3_scale_5,w_t_3_scale_12,w_t_3_scale_13,woman_trad_4_1,w_t_4_scale_1,w_t_4_scale_3,w_t_4_scale_4,w_t_4_scale_5,w_t_4_scale_12,w_t_4_scale_13,woman_trad_5_1,w_t_5_scale_1,w_t_5_scale_3,w_t_5_scale_4,w_t_5_scale_5,w_t_5_scale_12,w_t_5_scale_13,woman_trad_6_1,w_t_6_scale_1,w_t_6_scale_3,w_t_6_scale_4,w_t_6_scale_5,w_t_6_scale_12,w_t_6_scale_13,woman_trad_7_1,w_t_7_scale_1,w_t_7_scale_3,w_t_7_scale_4,w_t_7_scale_5,w_t_7_scale_12,w_t_7_scale_13,woman_trad_8_1,w_t_8_scale_1,w_t_8_scale_3,w_t_8_scale_4,w_t_8_scale_5,w_t_8_scale_12,w_t_8_scale_13,woman_trad_9_1,w_t_9_scale_1,w_t_9_scale_3,w_t_9_scale_4,w_t_9_scale_5,w_t_9_scale_12,w_t_9_scale_13,woman_trad_10_1,w_t_10_scale_1,w_t_10_scale_3,w_t_10_scale_4,w_t_10_scale_5,w_t_10_scale_12,w_t_10_scale_13,age,gender,gender_5_TEXT,employment,role,company_size,experience,roles,industry,industry_12_TEXT,risk_aversion_1,risk_aversion_2,risk_aversion_3,risk_aversion_4,risk_aversion_5,risk_aversion_6,Condition,Iteration
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,9,9,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Man,,Employed full time,biologist,100-500 employees,10+ years,"technican
postdoctoral fellow
postbac fellow",Other - not listed,life science,3,6,6,6,6,1,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,6,8,9,,,,,,,,,,,,,,,8,9,7,7,7,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Woman,,Employed full time,Project Engineer ,Less than 50 employees,10+ years,"CAD designer, administrative assistants, engineers",Professional or business services,,5,7,5,5,2,6,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,9,7,7,5,7,5,6,9,6,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Man,,Employed full time,Product Catalog Specialist,50-100 employees,Less than 1 year,Project Manager,Financial or information,,6,7,5,7,5,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,2,2,2,2,6,0,6,,,,,,,,,,,,,,,2,2,4,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,Man,,Employed full time,Principle Software Engineer,100-500 employees,10+ years,"Software Engineer, Program Manager, Project Manager, Product Manager, CIO, Social Media, Producer, Writer, Marketing, Graphic Designer, UX Designer, QA, Consultant, Sales","Professional or business services,Technology",,3,4,5,2,7,2,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,,,,,,,,,,,,,,,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Man,,Employed full time,Information systems analyst ,"1,000+ employees",5-10 years,Systems Analyst and technical support,"Education,Technology",,3,5,5,4,5,5,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,5,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Woman,,Employed full time,microbiologist,100-500 employees,Less than 1 year,na,Professional or business services,,6,5,5,5,4,6,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,9,5,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,6,7,6,8,6,,,,,,,,33,Man,,Employed full time,Engineer,100-500 employees,1-2 years,Interns,Professional or business services,,6,7,5,6,7,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,6,7,3,6,6,7,7,,,,,,,,7,8,4,5,6,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Man,,Employed full time,Lead Data Analyst,"1,000+ employees",5-10 years,"Business Analysts, QA Engineers","Professional or business services,Technology",,4,6,5,4,3,5,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,6,8,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,8,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,Man,,Employed full time,Consultant,100-500 employees,3-5 years,Entry level supervisors,Technology,,6,7,6,7,6,7,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,4,5,7,9,8,9,9,5,8,7,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Woman,,Employed full time,Security Analyst,100-500 employees,1-2 years,"Customer Service Representatives, Host/Hostesses, Front-End Clerks.",Retail,,5,6,7,4,3,5,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,7,8,8,8,8,7,8,8,9,9,,,,,,,,,,,,,,,,,,,,,,37,Man,,Employed full time,Workforce Analyst,"1,000+ employees",Less than 1 year,"Supervisor,  Review Assistant",Health,,5,5,5,5,6,3,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,5,5,5,5,,,,,,,,9,7,8,5,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,Man,,Employed full time,Continuous Improvement Manager,"1,000+ employees",10+ years,"QA Engineer, Senior QA Engineer, Release Engineer, Continuous Improvement Trainee, Restaurant Chef, Restaurant Waitress","Manufacturing,Other - not listed","Manufacturing, Software Engineering, Restaurant (Hospitality)...you should have had multiple selections possible.",4,5,5,3,5,2,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,5,5,5,9,7,,,,,,,,,,,,,,,,,,,,,,8,7,5,6,5,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Man,,Employed full time,Software engineer ,"1,000+ employees",3-5 years,"Operations, tech",Technology,,2,5,6,2,5,2,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,5,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,7,7,6,40,Woman,,Employed full time,writer,"1,000+ employees",5-10 years,writer,"Health,Technology",,4,5,4,5,5,4,Woman_Traditional,Experiment
,,,,,,,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,5,5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,Woman,,Employed full time,Information Management ,"1,000+ employees",5-10 years,Retail,Retail,,4,7,7,7,4,4,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,8,8,9,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,7,6,8,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Man,,Employed full time,lead programmer,50-100 employees,1-2 years,programmers,Technology,,1,1,1,1,7,1,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,5,5,5,8,8,,,,,,,,,,,,,,,,,,,,,,8,8,5,5,5,8,8,,,,,,,,,,,,,,,44,Woman,,Employed full time,Principal Consultant,Less than 50 employees,5-10 years,"Consultants, Project Managers, Advisors, Product Managers,",Professional or business services,,5,5,3,3,6,3,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,7,4,5,9,9,5,5,5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Man,,Employed full time,scientist,"1,000+ employees",5-10 years,scientist,Professional or business services,,2,4,3,2,6,2,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,6,6,6,6,7,8,6,7,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,Man,,Employed full time,IT Tech,100-500 employees,3-5 years,IT Recruitment,Technology,,4,2,5,6,4,3,Woman_Nontraditional,Experiment
,,,,,,,10,10,3,8,9,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Man,,Employed full time,Software Engineer,"1,000+ employees",3-5 years,"System Admin, Analyst, Product Owner","Education,Technology",,4,5,5,4,5,4,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,9,9,10,10,,,,,,,,9,10,8,9,9,10,10,,,,,,,,21,Man,,Employed full time,Automation Analyst,"1,000+ employees",Less than 1 year,RPA Developer,Technology,,3,5,4,3,5,5,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,6,7,5,7,6,,,,,,,,8,8,7,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Man,,Employed full time,Dispatcher ,50-100 employees,10+ years,Office staff.,Manufacturing,,4,6,5,4,6,3,Man_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,9,10,8,10,9,10,10,9,9,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Non-binary / third gender,,Employed full time,Lab Technician Supervisor,"500-1,000 employees",3-5 years,"Lab Technician, Lab Assistant",Health,,3,1,2,1,6,1,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,5,5,6,9,8,,,,,,,,,,,,,,,6,8,5,5,6,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Man,,Employed full time,R and D Enginneer,100-500 employees,10+ years,"Secretarial, R and D Technician, Sales, General Assistant, Skilled Labor","Manufacturing,Retail,Technology",,3,5,3,3,6,3,Man_Traditional,Experiment
10,9,10,10,8,9,9,,,,,,,,,,,,,,,8,9,7,8,7,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Man,,Employed full time,senior,50-100 employees,3-5 years,new staff members,"Agriculture, mining, or construction,Professional or business services",,5,6,7,7,5,6,Man_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,5,5,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,7,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,Man,,Employed full time,Computer Technician Supervisor,100-500 employees,3-5 years,Internal IT,Technology,,3,5,5,4,3,2,Woman_Nontraditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,3,7,4,2,3,4,5,4,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Man,,Employed full time,systems administrator,100-500 employees,3-5 years,IT,"Transportation, utilities, or wholesale",,5,5,3,5,3,2,Woman_Traditional,Experiment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,6,7,5,0,7,,,,,,,,,,,,,,,,,,,,,,6,8,7,7,6,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Man,,Employed full time,senior team lead,100-500 employees,5-10 years,"QA, Dev, IT, Ops, SecOps",Technology,,5,6,5,5,7,6,Woman_Nontraditional,Experiment
